Date,BondCode,ShortName,Issuer,IssuingDate,MaturityDate,Tenor,CurrencyDenomination,AmountOfIssuance,Coupon,IRR,EarlyRedemption,NonCallPeriodYearxCallFrequencyYear,SecuritiesUnderwriterOrFinancialConsultingCompany,LiquidityProvider,ISIN,BondDatabase
20260905,F05831,P25RBCLB1,Royal Bank of Canada London Branch,20250122,20350122,10,USD,70000000,5.560,0,Applicable,2.000 x 1.000,E.SUN BankYuanta Securities Co,Yuanta Securities Co,XS2946086134,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0040&MONYR_REG=202501&BOND_ID=F05831&KIND=A
20260905,F18923,P25MLBV1,Merrill Lynch B.V.,20250213,20350213,10,USD,40000000,5.700,0,Applicable,3.000 x 1.000,E.SUN BankFirst BankKGI SecuritiesSunny Bank Ltd.,E.SUN Bank,XS2814742271,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202502&BOND_ID=F18923&KIND=A
20260905,F14623,P25JPMCB1,JPMorgan Chase Bank N.A.,20250225,20350225,10,USD,40000000,5.600,0,Applicable,3.000 x 1.000,E.SUN BankJPMorgan SecuritiesSunny Bank Ltd.,E.SUN Bank,XS1449564191,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0118&MONYR_REG=202502&BOND_ID=F14623&KIND=A
20260905,F02661,P25CACIB1,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,20250226,20350226,10,USD,40000000,5.600,0,Applicable,3.000 x 1.000,Chinatrust BankE.SUN BankSunny Bank Ltd.,E.SUN Bank,XS1334474407,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0014&MONYR_REG=202502&BOND_ID=F02661&KIND=A
20260905,F14251,P25CGMHI1,Citigroup Global Markets Holdings Inc.,20250227,20350227,10,USD,25000000,5.820,0,Applicable,3.000 x 1.000,SinoPac SecuritiesSunny Bank Ltd.,SinoPac Securities,XS2982214897,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0115&MONYR_REG=202502&BOND_ID=F14251&KIND=A
20260905,F18925,P25MLBV3,Merrill Lynch B.V.,20250327,20350327,10,USD,65000000,5.500,0,Applicable,2.000 x 1.000,E.SUN BankSinoPac SecuritiesSunny Bank Ltd.,E.SUN Bank,XS2938573180,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202503&BOND_ID=F18925&KIND=A
20260905,F19801,P25ING1,ING Bank N.V.,20250508,20350508,10,USD,20000000,5.700,0,Applicable,5.000 x 1.000,E.SUN BankKGI Securities,KGI Securities,XS2911644982,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0163&MONYR_REG=202505&BOND_ID=F19801&KIND=A
20260905,F20201,P25TWNLI1,台灣人壽保險股份有限公司,20250911,20350911,10,USD,102500000,6.000,0,Not Applicable,Not Applicable,Chinatrust BankYuanta Securities Co,Yuanta Securities Co,TW000F202015,https://mopsov.twse.com.tw/mops/web/t120sg01?encodeURIComponent=1&firstin=true&tg=&pg=&step=0&TYPEK=&monyr_reg=202608&issuer_stock_code=2833&bond_kind=4&bond_yrn=114-2&bond_subn=%24M00000001&bond_id=F20201&come=2
20260905,F18927,P25MLBV5,Merrill Lynch B.V.,20250926,20350926,10,AUD,28000000,5.300,0,Applicable,4.000 x 1.000,SinoPac SecuritiesSunny Bank Ltd.,SinoPac Securities,XS3156352687,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202509&BOND_ID=F18927&KIND=A
20260905,F18928,P25MLBV6,Merrill Lynch B.V.,20251119,20351119,10,AUD,31000000,5.280,0,Applicable,3.000 x 1.000,E.SUN BankSunny Bank Ltd.,E.SUN Bank,XS3156341649,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0156&MONYR_REG=202511&BOND_ID=F18928&KIND=A
20260905,F18713,P25JPCFC1,JPMorgan Chase Financial Company LLC,20251120,20351120,10,AUD,55000000,5.250,0,Applicable,3.000 x 1.000,E.SUN BankSunny Bank Ltd.,E.SUN Bank,XS1449428504,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0154&MONYR_REG=202511&BOND_ID=F18713&KIND=A
20260905,F14624,P25JPMCB2,JPMorgan Chase Bank N.A.,20251204,20351204,10,AUD,30000000,5.320,0,Applicable,4.000 x 1.000,E.SUN BankSunny Bank Ltd.,E.SUN Bank,XS1449425153,https://mopsov.twse.com.tw/mops/web/t113sb02?encodeURIComponent=1&firstin=true&id=&colorchg=&TYPEK=all&step=11&co_id=E0118&MONYR_REG=202512&BOND_ID=F14624&KIND=A
