entity_id,co_id,filing,period_end,scope,table,label,shock,direction,pnl_ntd_k,equity_ntd_k
fubon_life,5865,202504_5865_AI1.pdf,2024-12-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-33065089.0
fubon_life,5865,202501_5865_AI1.pdf,2025-03-31,本公司,equity,價格指數,10%,上升,0.0,83463847.0
fubon_life,5865,202501_5865_AI1.pdf,2025-03-31,本公司,fx,新台幣/所有外幣,3%,升值,-22053552.0,-12281596.0
fubon_life,5865,202501_5865_AI1.pdf,2025-03-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,-947186.0,0.0
fubon_life,5865,202501_5865_AI1.pdf,2025-03-31,本公司,rate,其他,50bp,上移,-239.0,-147638.0
fubon_life,5865,202501_5865_AI1.pdf,2025-03-31,本公司,rate,台幣,50bp,上移,0.0,-6361566.0
fubon_life,5865,202501_5865_AI1.pdf,2025-03-31,本公司,rate,美元,50bp,上移,-9733.0,-32478888.0
fubon_life,5865,202501_5865_AI1.pdf,2025-03-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-31336535.0
fubon_life,5865,202502_5865_AI1.pdf,2025-06-30,本公司,equity,價格指數,10%,上升,0.0,88607184.0
fubon_life,5865,202502_5865_AI1.pdf,2025-06-30,本公司,fx,新台幣/所有外幣,3%,升值,-14263976.0,-12287888.0
fubon_life,5865,202502_5865_AI1.pdf,2025-06-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,69243.0,0.0
fubon_life,5865,202502_5865_AI1.pdf,2025-06-30,本公司,rate,其他,50bp,上移,-480.0,-152208.0
fubon_life,5865,202502_5865_AI1.pdf,2025-06-30,本公司,rate,台幣,50bp,上移,0.0,-6473458.0
fubon_life,5865,202502_5865_AI1.pdf,2025-06-30,本公司,rate,美元,50bp,上移,-9402.0,-28989979.0
fubon_life,5865,202502_5865_AI1.pdf,2025-06-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-30797792.0
fubon_life,5865,202503_5865_AI1.pdf,2025-09-30,本公司,equity,價格指數,10%,上升,0.0,95893557.0
fubon_life,5865,202503_5865_AI1.pdf,2025-09-30,本公司,fx,新台幣/所有外幣,3%,升值,-29456096.0,-11879574.0
fubon_life,5865,202503_5865_AI1.pdf,2025-09-30,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,-7165738.0,0.0
fubon_life,5865,202503_5865_AI1.pdf,2025-09-30,本公司,rate,其他,50bp,上移,-357.0,-154055.0
fubon_life,5865,202503_5865_AI1.pdf,2025-09-30,本公司,rate,台幣,50bp,上移,0.0,-9099499.0
fubon_life,5865,202503_5865_AI1.pdf,2025-09-30,本公司,rate,美元,50bp,上移,-10352.0,-31806586.0
fubon_life,5865,202503_5865_AI1.pdf,2025-09-30,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-29882332.0
fubon_life,5865,202602_5865_AI1.pdf,2025-12-31,本公司,equity,價格指數,10%,上升,86691072.0,89667001.0
fubon_life,5865,202602_5865_AI1.pdf,2025-12-31,本公司,fx,新台幣/所有外幣,3%,升值,-62466059.0,-76175147.0
fubon_life,5865,202504_5865_AI1.pdf,2025-12-31,子公司-富邦現代生命保險,fx,韓圜/所有外幣,3%,升值,-10828836.0,0.0
fubon_life,5865,202504_5865_AI1.pdf,2025-12-31,本公司,rate,其他,50bp,上移,-330.0,-76353.0
fubon_life,5865,202504_5865_AI1.pdf,2025-12-31,本公司,rate,台幣,50bp,上移,0.0,-9950185.0
fubon_life,5865,202504_5865_AI1.pdf,2025-12-31,本公司,rate,美元,50bp,上移,-11074.0,-31841488.0
fubon_life,5865,202504_5865_AI1.pdf,2025-12-31,子公司-富邦現代生命保險,rate,韓圜,50bp,上移,0.0,-32203812.0
fubon_life,5865,202601_5865_AI1.pdf,2026-03-31,本公司,equity,價格指數,10%,上升,27712339.0,86359446.0
fubon_life,5865,202601_5865_AI1.pdf,2026-03-31,本公司,fx,新台幣/所有外幣,3%,升值,-23459044.0,-28233884.0
fubon_life,5865,202602_5865_AI1.pdf,2026-06-30,本公司,equity,價格指數,10%,上升,32502706.0,116801545.0
fubon_life,5865,202602_5865_AI1.pdf,2026-06-30,本公司,fx,新台幣/所有外幣,3%,升值,-24371507.0,-30466979.0
