entity_id,as_of,basis,hedged_pct,fx_policy_pct,naked_pct,equity_pct,cs_ndf_pct_of_risk,fx_risk_pct,foreign_assets_ntd_bn,deck,deck_date,page,source,includes_proxy
kgi_life,2025-03-31,fx_risk_base,32.83,33.0,28.14,6.03,49.0,67.0,,288320250526M001.pdf,2025-05-26,19,text,False
kgi_life,2025-06-30,fx_risk_base,28.81,33.0,31.49,6.7,43.0,67.0,,288320250902M001.pdf,2025-09-02,18,text,False
kgi_life,2025-09-30,fx_risk_base,44.22,33.0,16.08,6.7,66.0,67.0,,288320251202M001.pdf,2025-12-02,18,text,False
kgi_life,2025-12-31,fx_risk_base,42.9,34.0,17.16,5.94,65.0,66.0,,288320260402M001.pdf,2026-04-02,11,text,False
kgi_life,2026-03-31,fx_risk_base,28.47,27.0,42.34,2.19,39.0,73.0,,288320260602M001.pdf,2026-06-02,13,text,False
kgi_life,2026-06-30,fx_risk_base,27.01,27.0,43.07,2.92,37.0,73.0,,288320260831M001.pdf,2026-08-31,15,text,False
shinkong_life,2016-12-31,foreign_investment,70.1,16.6,9.9,3.5,,,1405.85,254_SKFH%20Company%20Overview%20Apr%202017%20Chi_HYA3rHfHR3Pj.pdf,2016-12-31,22,ir_host,False
shinkong_life,2017-09-30,foreign_investment,65.9,17.1,13.1,3.9,,,1506.49,269_SKFH%20Company%20Overview%20Mar%202018%20Chi_ABiDUKAtDhkA.pdf,2017-09-30,22,ir_host,False
shinkong_life,2018-09-30,foreign_investment,61.5,17.8,15.1,5.5,,,1828.6,282_SKFH%20Company%20Overview%20January%202019%20Eng_2QDI3GFcAKhr.pdf,2018-09-30,22,ir_host,False
shinkong_life,2018-12-31,foreign_investment,63.6,19.0,12.6,4.7,,,1863.7,284_2018Q4%20Eng%20(H)_caj32AT1n5t8.pdf,2018-12-31,17,ir_host,False
shinkong_life,2019-03-31,foreign_investment,55.1,19.8,18.7,6.4,,,1906.7,287_2019Q1%20Eng%20(H)_elDcjFHHRbRA.pdf,2019-03-31,17,ir_host,False
shinkong_life,2020-12-31,foreign_investment,48.8,26.9,21.8,2.5,,,2039.89,312_2020Q4%20Chi%20(H)_GAjH2jEBEFqL.pdf,2020-12-31,16,ir_host,False
shinkong_life,2021-09-30,foreign_investment,51.8,27.9,18.4,1.9,,,2172.02,325_SKFH%20Company%20Overview%20December%20%202021%20Chi_H6NirNI4efTe.pdf,2021-09-30,20,ir_host,False
shinkong_life,2021-12-31,foreign_investment,53.4,28.4,16.6,1.7,,,2191.0,330_20220315154743-1.pdf,2021-12-31,16,ir_host,False
shinkong_life,2022-12-31,foreign_investment,52.5,29.9,15.7,1.8,,,2423.5099999999998,357_20230321175446-1.pdf,2022-12-31,16,ir_host,False
shinkong_life,2025-09-30,foreign_investment,34.7,29.8,34.4,1.0,,,2330.6,288720251201M001.pdf,2025-12-01,27,text,False
shinkong_life,2025-12-31,foreign_investment,34.7,30.2,34.0,1.1,,,,288720260331M001.pdf,2026-03-31,29,text,False
shinkong_life,2026-03-31,foreign_investment,38.1,30.1,30.4,1.4,,,1988.8,288720260603M001.pdf,2026-06-03,29,text,False
shinkong_life,2026-06-30,foreign_investment,32.2,30.3,35.4,2.1,,,2058.5,288720260901M001.pdf,2026-09-01,30,text,False
taiwan_life,2019-03-31,foreign_investment,41.5,38.0,13.6,6.8,,,,289120190430M001.pdf,2019-04-30,27,text,False
taiwan_life,2019-06-30,foreign_investment,40.9,38.0,14.3,6.8,,,,289120190813M001.pdf,2019-08-13,26,text,False
taiwan_life,2019-09-30,foreign_investment,40.3,39.0,13.4,7.3,,,,289120191111M001.pdf,2019-11-11,26,text,False
taiwan_life,2019-12-31,foreign_investment,38.4,40.0,13.2,7.8,,,,289120200312M001.pdf,2020-03-12,27,text,False
taiwan_life,2020-03-31,foreign_investment,36.6,40.0,14.4,9.0,,,,289120200511M001.pdf,2020-05-11,27,text,False
taiwan_life,2020-06-30,foreign_investment,37.2,40.0,14.4,8.4,,,,289120200812M001.pdf,2020-08-12,27,text,False
taiwan_life,2020-09-30,foreign_investment,35.4,40.0,16.8,8.4,,,,289120201123M001.pdf,2020-11-23,27,text,False
taiwan_life,2020-12-31,foreign_investment,38.4,40.0,13.2,8.4,,,,289120210325M001.pdf,2021-03-25,29,text,True
taiwan_life,2021-03-31,foreign_investment,36.0,40.0,15.0,8.0,,,,289120210519M001.pdf,2021-05-19,28,text,False
