entity_id,co_id,as_of,scope,currency,subject,measure,shock_bp,value_ntd_k,per_bp_ntd_k,layout,filing,page
cathay_life,5846,2020-09-30,本公司,GBP,total,pnl,1.0,0.0,0.0,grid,202003_5846_AI1.pdf,120
cathay_life,5846,2020-09-30,本公司,TWD,total,equity,1.0,-326674.0,-326674.0,grid,202003_5846_AI1.pdf,120
cathay_life,5846,2020-09-30,本公司,TWD,total,pnl,1.0,0.0,0.0,grid,202003_5846_AI1.pdf,120
cathay_life,5846,2020-09-30,本公司,USD,total,equity,1.0,-1150760.0,-1150760.0,grid,202003_5846_AI1.pdf,120
cathay_life,5846,2020-09-30,本公司,USD,total,pnl,1.0,1041.0,1041.0,grid,202003_5846_AI1.pdf,120
cathay_life,5846,2021-03-31,本公司,CNY,total,equity,1.0,-56855.0,-56855.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-03-31,本公司,CNY,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-03-31,本公司,EUR,total,equity,1.0,-17285.0,-17285.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-03-31,本公司,EUR,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-03-31,本公司,GBP,total,equity,1.0,-5198.0,-5198.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-03-31,本公司,GBP,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-03-31,本公司,TWD,total,equity,1.0,-324910.0,-324910.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-03-31,本公司,TWD,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-03-31,本公司,USD,total,equity,1.0,-1381215.0,-1381215.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-03-31,本公司,USD,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2021-06-30,本公司,CNY,total,equity,1.0,-48032.0,-48032.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-06-30,本公司,CNY,total,pnl,1.0,0.0,0.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-06-30,本公司,EUR,total,equity,1.0,-9481.0,-9481.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-06-30,本公司,EUR,total,pnl,1.0,0.0,0.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-06-30,本公司,GBP,total,equity,1.0,-5078.0,-5078.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-06-30,本公司,GBP,total,pnl,1.0,0.0,0.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-06-30,本公司,TWD,total,equity,1.0,-355998.0,-355998.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-06-30,本公司,TWD,total,pnl,1.0,0.0,0.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-06-30,本公司,USD,total,equity,1.0,-1376831.0,-1376831.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-06-30,本公司,USD,total,pnl,1.0,3189.0,3189.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2021-09-30,本公司,CNY,total,equity,1.0,-44690.0,-44690.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,CNY,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,EUR,total,equity,1.0,-5009.0,-5009.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,EUR,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,GBP,total,equity,1.0,-3518.0,-3518.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,GBP,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,TWD,total,equity,1.0,-385924.0,-385924.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,TWD,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,USD,total,equity,1.0,-1477193.0,-1477193.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,USD,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2021-09-30,本公司,all,total,equity,100.0,-193248147.0,-1932481.47,grid,202203_5846_AI1.pdf,118
cathay_life,5846,2022-03-31,本公司,CNY,total,equity,1.0,-25398.0,-25398.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,CNY,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,EUR,total,equity,1.0,-4375.0,-4375.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,EUR,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,GBP,total,equity,1.0,-3782.0,-3782.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,GBP,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,TWD,total,equity,1.0,-670601.0,-670601.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,TWD,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,USD,total,equity,1.0,-1528008.0,-1528008.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,USD,total,pnl,1.0,0.0,0.0,grid,202201_5846_AI1.pdf,117
cathay_life,5846,2022-03-31,本公司,all,total,equity,100.0,-105259508.0,-1052595.08,grid,202301_5846_AI1.pdf,119
cathay_life,5846,2022-06-30,本公司,CNY,total,equity,1.0,-7588.0,-7588.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,CNY,total,pnl,1.0,0.0,0.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,EUR,total,equity,1.0,-3647.0,-3647.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,EUR,total,pnl,1.0,0.0,0.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,GBP,total,equity,1.0,-3265.0,-3265.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,GBP,total,pnl,1.0,0.0,0.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,TWD,total,equity,1.0,-684979.0,-684979.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,TWD,total,pnl,1.0,0.0,0.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,USD,total,equity,1.0,-1592004.0,-1592004.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,USD,total,pnl,1.0,0.0,0.0,grid,202202_5846_AI1.pdf,121
cathay_life,5846,2022-06-30,本公司,all,total,equity,100.0,-115578283.0,-1155782.83,grid,202302_5846_AI1.pdf,125
cathay_life,5846,2022-09-30,本公司,CNY,total,equity,1.0,-3130.0,-3130.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,CNY,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,EUR,total,equity,1.0,-4715.0,-4715.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,EUR,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,GBP,total,equity,1.0,-2539.0,-2539.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,GBP,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,TWD,total,equity,1.0,-442759.0,-442759.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,TWD,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,USD,total,equity,1.0,-1466838.0,-1466838.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,USD,total,pnl,1.0,0.0,0.0,grid,202203_5846_AI1.pdf,119
cathay_life,5846,2022-09-30,本公司,all,total,equity,100.0,-120252259.0,-1202522.59,grid,202303_5846_AI1.pdf,123
cathay_life,5846,2023-03-31,本公司,CNY,total,equity,1.0,-1785.0,-1785.0,grid,202301_5846_AI1.pdf,120
cathay_life,5846,2023-03-31,本公司,CNY,total,pnl,1.0,0.0,0.0,grid,202301_5846_AI1.pdf,120
cathay_life,5846,2023-03-31,本公司,EUR,total,equity,1.0,-4262.0,-4262.0,grid,202301_5846_AI1.pdf,120
cathay_life,5846,2023-03-31,本公司,EUR,total,pnl,1.0,0.0,0.0,grid,202301_5846_AI1.pdf,120
cathay_life,5846,2023-03-31,本公司,GBP,total,equity,1.0,-3063.0,-3063.0,grid,202301_5846_AI1.pdf,120
cathay_life,5846,2023-03-31,本公司,GBP,total,pnl,1.0,0.0,0.0,grid,202301_5846_AI1.pdf,120
cathay_life,5846,2023-03-31,本公司,TWD,total,equity,1.0,-64880.0,-64880.0,grid,202301_5846_AI1.pdf,120
cathay_life,5846,2023-03-31,本公司,TWD,total,pnl,1.0,0.0,0.0,grid,202301_5846_AI1.pdf,120
cathay_life,5846,2023-03-31,本公司,USD,total,equity,1.0,-967909.0,-967909.0,grid,202301_5846_AI1.pdf,120
