matrix_code,item,sub_item,obs_month,value,unit,vintage
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-10-01,26.09,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-10-01,26.05,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-10-01,8.25,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-11-01,26.2,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-11-01,26.3,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-11-01,26.269,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-11-01,8.75,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1994-12-01,26.16,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1994-12-01,26.26,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1994-12-01,26.24,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1994-12-01,9.25,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-01-01,26.25,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-01-01,26.35,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-01-01,26.285,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-01-01,9.25,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-02-01,26.27,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-02-01,26.37,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-02-01,26.349,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-02-01,9.25,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-03-01,25.94,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-03-01,26.04,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-03-01,26.0,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-03-01,9.25,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-04-01,25.36,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-04-01,25.46,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-04-01,25.398,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-04-01,9.25,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-05-01,25.54,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-05-01,25.64,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-05-01,25.575,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-05-01,9.0,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-06-01,25.75,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-06-01,25.85,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-06-01,25.829,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-06-01,9.0,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-07-01,26.42,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-07-01,26.52,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-07-01,26.47,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-07-01,8.75,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-08-01,27.45,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-08-01,27.55,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-08-01,27.5,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-08-01,8.75,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-09-01,26.95,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-09-01,27.05,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-09-01,27.01,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-09-01,8.75,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-10-01,26.91,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-10-01,27.01,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-10-01,26.988,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-10-01,8.75,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-11-01,27.26,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-11-01,27.36,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-11-01,27.312,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-11-01,8.75,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1995-12-01,27.22,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1995-12-01,27.32,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1995-12-01,27.265,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1995-12-01,8.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-01-01,27.42,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-01-01,27.52,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-01-01,27.468,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-01-01,8.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-02-01,27.45,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-02-01,27.55,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-02-01,27.497,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-02-01,8.3,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-03-01,27.19,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-03-01,27.29,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-03-01,27.246,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-03-01,8.3,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-04-01,27.11,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-04-01,27.21,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-04-01,27.17,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-04-01,8.3,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-05-01,27.62,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-05-01,27.72,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-05-01,27.672,TWD per USD,2026-08-27
EG51M01,遠期信用狀美金利率（年息）,,1996-05-01,8.5,pct_pa,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-買進,,1996-06-01,27.46,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行與顧客間交易匯率-賣出,,1996-06-01,27.56,TWD per USD,2026-08-27
EG51M01,美元即期匯率-銀行間收盤匯率,,1996-06-01,27.486,TWD per USD,2026-08-27
