basis,flows_are_ytd,foreign_investments,obs_month,reporting_channel,retrieved_at,source_doc,source_id,source_note,source_url,total_assets,vintage
disclosed,False,19795932,2022-02-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年2月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/02),111-02,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202204210955460.pdf&filedisplay=202202指標0408_含公式加頁_正式_final值.pdf&flag=doc,33103198,2022-04-21
disclosed,False,20097152,2022-03-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年3月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/03),111-03,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202205271626480.pdf&filedisplay=202203指標0503_含公式加頁_正式_final值_更新表24_24-1.pdf&flag=doc,33533941,2022-05-27
disclosed,False,20129645,2022-04-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年4月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/04),111-04,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202206301026080.pdf&filedisplay=202204指標0630_含公式加頁_正式_final.pdf&flag=doc,33420060,2022-06-30
disclosed,False,20140732,2022-05-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年5月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/05),111-05,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202208011040360.pdf&filedisplay=202205指標0704_含公式加頁_正式_Final.pdf&flag=doc,33138150,2022-08-01
disclosed,False,20231301,2022-06-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年6月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/06),111-06,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202208290855270.pdf&filedisplay=202206指標0823_含公式加頁_Final_revised.pdf&flag=doc,32921716,2022-08-29
disclosed,False,20607239,2022-07-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年7月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/07),111-07,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202210111614050.pdf&filedisplay=202207指標1007_含公式加頁_正式_3rd_Revised.pdf&flag=doc,33389626,2022-10-11
disclosed,False,20661580,2022-08-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年8月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/08),111-08,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202210261425190.pdf&filedisplay=202208指標1024_含公式加頁_正式_2nd_Upload.pdf&flag=doc,33503178,2022-10-26
disclosed,False,20783630,2022-09-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年9月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/09),111-09,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202212021136250.pdf&filedisplay=202209指標1115_含公式加頁_正式_2nd_Upload.pdf&flag=doc,33612011,2022-12-02
disclosed,False,21789645,2022-10-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年10月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/10),111-10,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202212271411280.pdf&filedisplay=111年10月重要指標_2nd_Upload.pdf&flag=doc,34428560,2022-12-27
disclosed,False,21407388,2022-11-01,ib_indicators,2026-09-04T05:01:16.089517+00:00,保險局 111年11月保險市場重要指標 表17-1 人身保險業資金運用表 (p.22; current column 2022/11),111-11,FSC-basis 國外投資 from the Bureau's monthly key-indicators table; 2025-on figures unaudited per the table's own note.,https://www.ib.gov.tw/uploaddowndoc?file=statistics/202302071058440.pdf&filedisplay=111年11月重要指標_3rd_Upload.pdf&flag=doc,33906561,2023-02-07
