obs_month,net_yen_bn,rolling12_yen_bn,source_url,source_doc,vintage
2008-12,-654.9,-96.6,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-01,435.0,300.4,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-02,-324.8,380.4,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-03,-458.6,-216.1,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-04,-11.5,-1284.9,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-05,736.3,-648.5,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-06,262.7,-240.1,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-07,447.6,265.5,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-08,170.0,631.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-09,155.6,1000.8,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-10,166.6,1122.7,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-11,-216.2,707.8,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2009-12,461.3,1824.0,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-01,-389.9,999.1,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-02,-368.3,955.6,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
2010-03,298.7,1712.9,https://www.mof.go.jp/policy/international_policy/reference/itn_transactions_in_securities/monthb3.csv,"MOF, Purchases and Sales of Foreign Securities by Residents by Types of Investors (Long-term debt securities), 生命保険会社, net","September 8, 2026"
